INDEX,REPORT_YEAR,DIVISION,NEIGHBOURHOOD,CATEGORY,SUBTYPE,COUNT,COUNT_CLEARED,ObjectId
7296,2015,D41,Oakridge (121),Crimes Against Property,Other,116,42,7535
7482,2020,D43,Golfdale-Cedarbrae-Woburn (141),Crimes Against Property,Break & Enter-Apartment,23,6,7536
7359,2017,D11,High Park-Swansea (87),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,8,7,7537
7297,2016,D13,Yorkdale-Glen Park (31),Crimes Against Property,Break & Enter-Commercial,16,8,7538
7483,2022,D22,Etobicoke City Centre (159),Other Criminal Code Violations,Other,119,97,7539
7360,2023,D11,Weston-Pelham Park (91),Crimes Against the Person,Sexual Violation,11,6,7540
7298,2016,D11,Little Portugal (84),Crimes Against Property,Fraud,14,4,7541
7484,2018,D14,Wellington Place (164),Crimes Against Property,Fraud,144,51,7542
7361,2023,D55,Danforth (66),Crimes Against the Person,Assault,115,58,7543
7299,2017,D55,Danforth (66),Criminal Code Traffic,Other,1,1,7544
7485,2017,D12,Brookhaven-Amesbury (30),Other Criminal Code Violations,Other,77,73,7545
7362,2021,D22,Etobicoke City Centre (159),Crimes Against Property,Break & Enter-Commercial,60,14,7546
7300,2021,D22,Kingsway South (15),Crimes Against the Person,Attempt Murder,1,1,7547
7486,2014,D22,Long Branch (19),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,4,4,7548
7363,2022,D42,East L'Amoreaux (148),Crimes Against Property,Theft Under $5000,78,3,7549
7364,2016,D43,Morningside (135),Other Criminal Code Violations,Other,63,61,7550
7487,2021,D13,Junction-Wallace Emerson (171),Crimes Against the Person,Assault,12,9,7551
7365,2016,D55,Greenwood-Coxwell (65),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,17,15,7552
7488,2021,D55,North Riverdale (68),Crimes Against the Person,Other,5,2,7553
7366,2019,D31,Black Creek (24),Other Criminal Code Violations,Other,102,88,7554
7489,2015,D32,Englemount-Lawrence (32),Other Criminal Code Violations,Other,19,17,7555
7367,2017,D53,Bridle Path-Sunnybrook-York Mills (41),Controlled Drugs and Substances Act,Other,2,2,7556
7490,2022,D51,St Lawrence-East Bayfront-The Islands (166),Crimes Against the Person,Robbery-Other,19,14,7557
7368,2020,D32,Yonge-Doris (151),Crimes Against Property,Theft Over $5000,10,1,7558
7491,2015,D43,Cliffcrest (123),Crimes Against Property,Break & Enter-Apartment,3,2,7559
7369,2018,D33,Bayview Village (52),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,2,7560
7492,2015,D33,Banbury-Don Mills (42),Crimes Against Property,Theft Under $5000,282,139,7561
7370,2020,D51,Cabbagetown-South St.James Town (71),Crimes Against the Person,Assault,126,84,7562
7493,2023,D42,Morningside Heights (144),Crimes Against Property,Break & Enter-House,10,3,7563
7371,2019,D55,Playter Estates-Danforth (67),Crimes Against the Person,Robbery-Other,7,2,7564
7494,2023,D11,Roncesvalles (86),Crimes Against Property,Break & Enter-House,12,4,7565
7372,2021,D23,Willowridge-Martingrove-Richview (7),Crimes Against the Person,Robbery-Other,4,2,7566
7495,2017,D41,Cliffcrest (123),Crimes Against Property,Other,30,9,7567
7373,2020,D31,Oakdale-Beverley Heights (154),Other Criminal Code Violations,Other,111,76,7568
7496,2015,D42,L'Amoreaux West (147),Crimes Against the Person,Robbery-Other,19,8,7569
7374,2019,D12,Keelesdale-Eglinton West (110),Crimes Against Property,Break & Enter-Apartment,3,2,7570
7497,2017,D42,Agincourt North (129),Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,7,7,7571
7375,2022,D42,L'Amoreaux West (147),Crimes Against Property,Fraud,81,4,7572
7498,2021,D32,Bathurst Manor (34),Crimes Against Property,Theft Under $5000,77,4,7573
